Country,Region
Afghanistan,Southern Asia
Albania,Southern Europe
Algeria,Northern Africa
American Samoa,Polynesia
Andorra,Southern Europe
Angola,Middle Africa
Anguilla,Caribbean
Antigua and Barbuda,Caribbean
Argentina,South America
Armenia,Western Asia
Aruba,Caribbean
Australia,Australia New Zealand
Austria,Western Europe
Azerbaijan,Western Asia
Bahamas,Caribbean
Bahrain,Western Asia
Bangladesh,Southern Asia
Barbados,Caribbean
Belarus,Eastern Europe
Belgium,Western Europe
Belize,Central America
Benin,Western Africa
Bermuda,Northern America
Bhutan,Southern Asia
Bolivia (Plurinational State of),South America
"Bonaire, Sint Eustatius and Saba",Caribbean
Bosnia and Herzegovina,Southern Europe
Botswana,Southern Africa
Brazil,South America
British Virgin Islands,Caribbean
Brunei Darussalam,South Eastern Asia
Bulgaria,Eastern Europe
Burkina Faso,Western Africa
Burundi,Eastern Africa
Cabo Verde,Western Africa
Cambodia,South Eastern Asia
Cameroon,Middle Africa
Canada,Northern America
Cayman Islands,Caribbean
Central African Republic,Middle Africa
Chad,Middle Africa
Channel Islands,Northern Europe
Chile,South America
China,Eastern Asia
"China, Hong Kong SAR",Eastern Asia
"China, Macao SAR",Eastern Asia
Colombia,South America
Comoros,Eastern Africa
Congo,Middle Africa
Cook Islands,Polynesia
Costa Rica,Central America
Croatia,Southern Europe
Cuba,Caribbean
Curaçao,Caribbean
Cyprus,Western Asia
Czechia,Eastern Europe
Côte d'Ivoire,Western Africa
Dem. People's Republic of Korea,Eastern Asia
Democratic Republic of the Congo,Middle Africa
Denmark,Northern Europe
Djibouti,Eastern Africa
Dominica,Caribbean
Dominican Republic,Caribbean
Ecuador,South America
Egypt,Northern Africa
El Salvador,Central America
Equatorial Guinea,Middle Africa
Eritrea,Eastern Africa
Estonia,Northern Europe
Eswatini,Southern Africa
Ethiopia,Eastern Africa
Falkland Islands (Malvinas),South America
Faroe Islands,Northern Europe
Fiji,Melanesia
Finland,Northern Europe
France,Western Europe
French Guiana,South America
French Polynesia,Polynesia
Gabon,Middle Africa
Gambia,Western Africa
Georgia,Western Asia
Germany,Western Europe
Ghana,Western Africa
Gibraltar,Southern Europe
Greece,Southern Europe
Greenland,Northern America
Grenada,Caribbean
Guadeloupe,Caribbean
Guam,Micronesia
Guatemala,Central America
Guinea,Western Africa
Guinea-Bissau,Western Africa
Guyana,South America
Haiti,Caribbean
Holy See,Southern Europe
Honduras,Central America
Hungary,Eastern Europe
Iceland,Northern Europe
India,Southern Asia
Indonesia,South Eastern Asia
Iran (Islamic Republic of),Southern Asia
Iraq,Western Asia
Ireland,Northern Europe
Isle of Man,Northern Europe
Israel,Western Asia
Italy,Southern Europe
Jamaica,Caribbean
Japan,Eastern Asia
Jordan,Western Asia
Kazakhstan,Central Asia
Kenya,Eastern Africa
Kiribati,Micronesia
Kuwait,Western Asia
Kyrgyzstan,Central Asia
Lao People's Democratic Republic,South Eastern Asia
Latvia,Northern Europe
Lebanon,Western Asia
Lesotho,Southern Africa
Liberia,Western Africa
Libya,Northern Africa
Liechtenstein,Western Europe
Lithuania,Northern Europe
Luxembourg,Western Europe
Madagascar,Eastern Africa
Malawi,Eastern Africa
Malaysia,South Eastern Asia
Maldives,Southern Asia
Mali,Western Africa
Malta,Southern Europe
Marshall Islands,Micronesia
Martinique,Caribbean
Mauritania,Western Africa
Mauritius,Eastern Africa
Mayotte,Eastern Africa
Mexico,Central America
Micronesia (Fed. States of),Micronesia
Monaco,Western Europe
Mongolia,Eastern Asia
Montenegro,Southern Europe
Montserrat,Caribbean
Morocco,Northern Africa
Mozambique,Eastern Africa
Myanmar,South Eastern Asia
Namibia,Southern Africa
Nauru,Micronesia
Nepal,Southern Asia
Netherlands,Western Europe
New Caledonia,Melanesia
New Zealand,Australia New Zealand
Nicaragua,Central America
Niger,Western Africa
Nigeria,Western Africa
Niue,Polynesia
North Macedonia,Southern Europe
Northern Mariana Islands,Micronesia
Norway,Northern Europe
Oman,Western Asia
Pakistan,Southern Asia
Palau,Micronesia
Panama,Central America
Papua New Guinea,Melanesia
Paraguay,South America
Peru,South America
Philippines,South Eastern Asia
Poland,Eastern Europe
Portugal,Southern Europe
Puerto Rico,Caribbean
Qatar,Western Asia
Republic of Korea,Eastern Asia
Republic of Moldova,Eastern Europe
Romania,Eastern Europe
Russian Federation,Eastern Europe
Rwanda,Eastern Africa
Réunion,Eastern Africa
Saint Helena,Western Africa
Saint Kitts and Nevis,Caribbean
Saint Lucia,Caribbean
Saint Pierre and Miquelon,Northern America
Saint Vincent and the Grenadines,Caribbean
Samoa,Polynesia
San Marino,Southern Europe
Sao Tome and Principe,Middle Africa
Saudi Arabia,Western Asia
Senegal,Western Africa
Serbia,Southern Europe
Seychelles,Eastern Africa
Sierra Leone,Western Africa
Singapore,South Eastern Asia
Sint Maarten (Dutch part),Caribbean
Slovakia,Eastern Europe
Slovenia,Southern Europe
Solomon Islands,Melanesia
Somalia,Eastern Africa
South Africa,Southern Africa
South Sudan,Eastern Africa
Spain,Southern Europe
Sri Lanka,Southern Asia
State of Palestine,Western Asia
Sudan,Northern Africa
Suriname,South America
Sweden,Northern Europe
Switzerland,Western Europe
Syrian Arab Republic,Western Asia
Tajikistan,Central Asia
Thailand,South Eastern Asia
Timor-Leste,South Eastern Asia
Togo,Western Africa
Tokelau,Polynesia
Tonga,Polynesia
Trinidad and Tobago,Caribbean
Tunisia,Northern Africa
Turkey,Western Asia
Turkmenistan,Central Asia
Turks and Caicos Islands,Caribbean
Tuvalu,Polynesia
Uganda,Eastern Africa
Ukraine,Eastern Europe
United Arab Emirates,Western Asia
United Kingdom,Northern Europe
United Republic of Tanzania,Eastern Africa
United States Virgin Islands,Caribbean
United States of America,Northern America
Uruguay,South America
Uzbekistan,Central Asia
Vanuatu,Melanesia
Venezuela (Bolivarian Republic of),South America
Viet Nam,South Eastern Asia
Wallis and Futuna Islands,Polynesia
Western Sahara,Northern Africa
Yemen,Western Asia
Zambia,Eastern Africa
Zimbabwe,Eastern Africa
